id,code,name,note,account_type,reconcile,chart_template_id:id
account_template_11308000010,1.1.3.08.000010,INSS A COMPENSAR,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11308000011,1.1.3.08.000011,BÔNUS DE ADIMPLÊNCIA FISCAL A COMPENSAR,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11308000012,1.1.3.08.000012,COFINS A RECUPERAR,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11308000013,1.1.3.08.000013,PIS A RECUPERAR,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11308000014,1.1.3.08.000014,COFINS A RECUPERAR - CRÉDITO PRESUMIDO,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11308000015,1.1.3.08.000015,PIS RECUPERAR - CRÉDITO PRESUMIDO,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11308000016,1.1.3.08.000016,ISS A RECUPERAR,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11308000017,1.1.3.08.000017,SIMPLES NACIONAL A RECUPERAR,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11308000018,1.1.3.08.000018,TRIBUTOS S/IMPORTACAO A RECUPERAR,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11309000001,1.1.3.09.000001,JUROS SOBRE O CAPITAL PRÓPRIO A RECEBER,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11311000001,1.1.3.11.000001,CONTA CORRENTE INCORPORACAO,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11401000001,1.1.4.01.000001,APLICAÇÕES BANCO DO BRASIL,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11403000001,1.1.4.03.000001,VALOR NOMINAL,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11403000002,1.1.4.03.000002,(-) DESÁGIO A APROPRIAR,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11501000001,1.1.5.01.000001,MERCADORIAS PARA REVENDA,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11501000002,1.1.5.01.000002,MATÉRIA-PRIMA,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11501000003,1.1.5.01.000003,MATERIAL DE ACONDICIONAMENTO,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11501000004,1.1.5.01.000004,OUTROS MATERIAIS DE CONSUMO,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11501000005,1.1.5.01.000005,PRODUTOS ACABADOS,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11501000006,1.1.5.01.000006,PRODUTOS EM ELABORAÇÃO,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11501000007,1.1.5.01.000007,AQUISIÇÃO DE AMOSTRA GRATIS E BRINDES,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11501000008,1.1.5.01.000008,IMPORTAÇÃO EM ANDAMENTO,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11502000001,1.1.5.02.000001,ALMOXARIFADO DE MANUTENÇÃO,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11502000002,1.1.5.02.000002,ALMOXARIFADO ADMINISTRATIVO,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11601000001,1.1.6.01.000001,PRÊMIOS DE SEGUROS A APROPRIAR,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11601000002,1.1.6.01.000002,ASSINATURAS E ANUIDADES,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_12105000002,1.2.1.05.000002,MATERIAL EM COMODATO,,asset_non_current,0,l10n_br_coa_saveincloud_chart_template
account_template_12204000001,1.2.2.04.000001,ADIANTAMENTO A SÓCIOS,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_12204000002,1.2.2.04.000002,ADIANTAMENTO A SOCIOS (CLOUDSAVE),,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_12205000001,1.2.2.05.000001,FUNDOS RAM CASH FIRF LP,,asset_non_current,0,l10n_br_coa_saveincloud_chart_template
account_template_12205000002,1.2.2.05.000002,FUNDOS MAPFRE FIF RF RL,,asset_non_current,0,l10n_br_coa_saveincloud_chart_template
account_template_12205000003,1.2.2.05.000003,FUNDOS RAM CASH FIRF LP (CLOUDSAVE),,asset_non_current,0,l10n_br_coa_saveincloud_chart_template
account_template_12205000004,1.2.2.05.000004,FUNDOS MAPFRE FIF RF RL (CLOUDSAVE),,asset_non_current,0,l10n_br_coa_saveincloud_chart_template
account_template_12301000001,1.2.3.01.000001,CONTROLADA A - VALOR PATRIMONIAL,,asset_non_current,0,l10n_br_coa_saveincloud_chart_template
account_template_12301000002,1.2.3.01.000002,CONTROLADA A - ÁGIO AQUISIÇÃO,,asset_non_current,0,l10n_br_coa_saveincloud_chart_template
account_template_12301000003,1.2.3.01.000003,(-) CONTROLADA A - AMORTIZAÇÃO DO ÁGIL,,asset_non_current,0,l10n_br_coa_saveincloud_chart_template
account_template_12301000004,1.2.3.01.000004,(-) CONTROLADA A - DESÁGIO NA AQUISIÇÃO,,asset_non_current,0,l10n_br_coa_saveincloud_chart_template
account_template_12301000005,1.2.3.01.000005,CONTROLADA A - AMORTIZAÇÃO DO DESÁGIO,,asset_non_current,0,l10n_br_coa_saveincloud_chart_template
account_template_12304000001,1.2.3.04.000001,FINOR,,asset_non_current,0,l10n_br_coa_saveincloud_chart_template
account_template_12304000002,1.2.3.04.000002,FINAM,,asset_non_current,0,l10n_br_coa_saveincloud_chart_template
account_template_12306000001,1.2.3.06.000001,OBJETOS DE ARTE,,asset_non_current,0,l10n_br_coa_saveincloud_chart_template
account_template_12306000002,1.2.3.06.000002,CAUÇÕES PERMANENTES,,asset_non_current,0,l10n_br_coa_saveincloud_chart_template
account_template_12307000001,1.2.3.07.000001,(-) CONTROLADAS E COLIGADAS EQUI. PATRIM,,asset_non_current,0,l10n_br_coa_saveincloud_chart_template
